Time;Type;CurrentPose;TargetPose;Result
Sat Sep 29 14:51:08 2018;post_grasp;(0.539571232516,-0.0172753047474,0.302018285333)/(0.000989972972504,0.0040194908628,0.00175179909661,0.999989897372);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:51:13 2018;drop_pose;(0.470557000775,0.0632225539807,0.211103546729)/(-0.0020570743767,0.00890350599144,0.0030757239245,0.999953516894);(0.546938538551,0.323324710131,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:51:31 2018;grasp_pose;(0.293233754153,-0.15536459207,0.173158471557)/(0.00215748363423,0.00344929071351,-0.00258138813366,0.999988391979);(0.369434535503,0.10575466603,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:51:42 2018;post_grasp;(0.292651262167,-0.15527909995,0.302715963861)/(0.000712602625165,0.00484490268837,-0.00319800040352,0.999982895808);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:51:48 2018;drop_pose;(0.349045696239,0.256883039826,0.212709848527)/(-0.00130841735667,0.00279657545358,0.00698037692279,0.99997087035);(0.425867110491,0.516298592091,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:52:04 2018;grasp_pose;(0.360398495668,-0.078519540435,0.173357413634)/(0.000988994281909,0.0047839913764,-0.00300782200203,0.999983544026);(0.436629384756,0.181321844459,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:52:06 2018;post_grasp;(0.360635150568,-0.0787528993103,0.303404063325)/(0.00126389287062,0.000538779420382,-0.00389645896525,0.999991464913);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:52:11 2018;drop_pose;(0.317562759846,-0.00223330354213,0.21425254217)/(2.60203183473e-05,0.00296980633722,0.00124441837292,0.999994815485);(0.3924292624,0.257467329502,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:52:26 2018;grasp_pose;(0.577170528309,-0.242185605968,0.170221322821)/(0.00171427896056,0.00686992024953,-0.00523266437366,0.999961241582);(0.654493808746,0.0194288156927,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:52:28 2018;post_grasp;(0.577250985565,-0.242179720843,0.29933059731)/(0.00317071024739,0.00596582644624,-0.00760361783412,0.999948268916);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:52:33 2018;drop_pose;(0.531277648926,0.0476650980323,0.210408153345)/(-0.00126482726387,0.00658833078017,0.0030347317855,0.999972891889);(0.607795834541,0.306697994471,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:52:57 2018;grasp_pose;(0.228732614424,-0.0450530131256,0.17380845864)/(-0.00103325564757,0.000211650507224,0.00303813328074,0.999994828653);(0.30361020565,0.214725270867,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:53:00 2018;post_grasp;(0.228870416019,-0.0451651454668,0.30354039958)/(-0.00119765852755,-0.00151243374907,0.000393501359039,0.999998061656);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:53:06 2018;drop_pose;(0.406912281697,0.227966926006,0.213028008068)/(-0.000519431879667,0.000527148625849,0.00585035822894,0.999982612656);(0.482397943735,0.485821962357,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:53:31 2018;grasp_pose;(0.196950825235,0.176919401024,0.173463516019)/(0.000917402750515,0.000349348732495,0.00386354830474,0.99999205463);(0.271808594465,0.436591237783,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:53:33 2018;post_grasp;(0.197101353603,0.1770035338,0.303757687614)/(0.00421214954795,-0.00143276492043,0.00383177172022,0.999982761105);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:53:39 2018;drop_pose;(0.544081021922,0.119623886094,0.212318314309)/(-0.000861987271683,0.000329784971413,-0.00298566902991,0.999995116988);(0.619042575359,0.380233079195,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:53:55 2018;grasp_pose;(0.263478939774,-0.249144495737,0.17311240912)/(0.00438804491613,0.00390377222329,0.000734956642719,0.999982482578);(0.339523106813,0.00875856634229,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:53:57 2018;post_grasp;(0.263586267851,-0.249233242829,0.30302440434)/(0.00346176096177,0.00227622735403,-0.000873345885791,0.999991036093);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:54:03 2018;drop_pose;(0.240295934947,0.0472361000009,0.214221697578)/(0.000186252646292,0.00407934281577,0.00226047940296,0.999989107193);(0.316025584936,0.306245207787,0.265)/(0.0,0.0,0.0,1.0);success
